Features,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,Porcentaje de Features,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Media (s),median(s),"sd(s) "
250,252,25,0,0.1,0,211,39,13,13,25,45,0.05921175666662748,0.05918259999816655,5.263307817728483E-4
250,250,38,0,0.15,0,207,43,7,7,38,45,0.09500164999953994,0.09492560000217054,6.303956719406525E-4
250,250,50,0,0.2,0,214,36,0,0,50,45,0.1651807600001727,0.16371669999716687,0.008647667741584184
500,500,50,0,0.1,0,430,70,25,25,50,45,0.18414285333371178,0.18440489999920828,0.0018633142778380124
500,501,75,0,0.15,0,426,74,13,13,75,45,0.30549994333293096,0.30264099999476457,0.014781531344882437
500,502,100,0,0.2,0,420,80,0,0,100,45,0.5466594233330397,0.53875529999641,0.026028967589814645
750,750,75,0,0.1,0,636,114,38,38,75,45,0.3843955033332653,0.38195499998982996,0.007884786393785063
750,750,113,0,0.15,0,649,101,19,19,113,45,0.6972019300010288,0.6889184999890858,0.018391144676894157
750,750,150,0,0.2,0,638,112,0,0,150,45,1.168669570002142,1.163488900012453,0.021754242328861154
1000,1000,100,0,0.1,0,844,156,50,50,100,45,0.6153583299999202,0.6128379000001587,0.0067041193183538655
1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1409102066663763,1.1415923999993538,0.020057860480487445
1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.0970878599996166,2.056454900000972,0.1023029543164213
1250,1250,125,0,0.1,0,1041,209,63,63,125,45,0.9551481633330695,0.9561415999996825,0.022901843564834684
1250,1250,188,0,0.15,0,1067,183,32,32,188,45,1.8233468166670113,1.8218696000003547,0.028094822022017827
1250,1251,250,0,0.2,0,1065,185,0,0,250,45,3.4003817200003446,3.3671089000017673,0.11206938642937811
1500,1500,150,0,0.1,0,1294,206,75,75,150,45,1.4637589499999497,1.4786009000017657,0.0409236087664666
1500,1500,225,0,0.15,0,1272,228,38,38,225,45,3.254534026666806,3.2920741999987513,0.14819428474385707
1500,1500,300,0,0.2,0,1265,235,0,0,300,45,5.439947300000495,5.716562800000247,0.7168404392112382
1750,1752,175,0,0.1,0,1493,257,88,88,175,45,1.9359268633329825,1.9362265999989177,0.04410116611014737
1750,1751,263,0,0.15,0,1475,275,44,44,263,45,3.8844737800000684,3.887528100000054,0.08600818357406065
1750,1750,350,0,0.2,0,1488,262,0,0,350,45,6.518628819999988,6.522133900001791,0.09397498075210539
2000,2002,200,0,0.1,0,1706,294,100,100,200,45,2.378176150000096,2.375977399999101,0.05625447291417241
2000,2000,300,0,0.15,0,1700,300,50,50,300,45,5.263631593333533,5.241475899998477,0.09144166038541887
2000,2003,400,0,0.2,0,1730,270,0,0,400,45,8.627517283333145,8.595978100001958,0.15269657066369835
2250,2250,225,0,0.1,0,1901,349,113,113,225,45,3.003513763332982,2.9933392999992066,0.07814346655278799
2250,2250,338,0,0.15,0,1908,342,57,57,338,45,6.329058843333405,6.302529000000504,0.11894936000238517
2250,2250,450,0,0.2,0,1928,322,0,0,450,45,12.012163043333446,11.997106399998302,0.15061887537357047
2500,2501,250,0,0.1,0,2107,393,125,125,250,45,4.235683316666715,4.22984969999743,0.09005526897150569
2500,2501,375,0,0.15,0,2133,367,63,63,375,45,8.715040326667076,8.678478699999687,0.19818542117166385
2500,2500,500,0,0.2,0,2113,387,0,0,500,45,14.740265036666703,14.729973899997276,0.13201476129437112
2750,2750,275,0,0.1,0,2332,418,138,138,275,45,4.795119263366481,4.7806015999995,0.11117852561594914
2750,2751,413,0,0.15,0,2323,427,69,69,413,45,10.56059729666619,10.537960500001645,0.2021216329823657
2750,2750,550,0,0.2,0,2357,393,0,0,550,45,18.840676893333754,18.842775100001745,0.19773894807471398
3000,3001,300,0,0.1,0,2541,459,150,150,300,45,5.619036283199724,5.593323198998405,0.10472385611167753
3000,3000,450,0,0.15,0,2533,467,75,75,450,45,12.265202666666543,12.274068799000815,0.15724827544989675
3000,3000,600,0,0.2,0,2556,444,0,0,600,45,23.01162882983384,23.01751720000175,0.3628020362959848
3250,3251,325,0,0.1,0,2787,463,163,163,325,45,7.132616473333716,7.123281500003941,0.09466994937569469
3250,3250,488,0,0.15,0,2758,492,82,82,488,45,15.522446919999735,15.50343590000557,0.1573836619451745
3250,3250,650,0,0.2,0,2765,485,0,0,650,45,25.305116213466437,25.251227699998708,0.3133836703049649
3500,3500,350,0,0.1,0,2977,523,175,175,350,45,8.523444989999795,8.5202758000014,0.10623257420394139
3500,3500,525,0,0.15,0,2973,527,88,88,525,45,17.882631983333702,17.786250099998142,0.3765491944481818
3500,3502,700,0,0.2,0,2962,538,0,0,700,45,32.07891580333332,31.880392999999458,0.9412772484143924
3750,3751,375,0,0.1,0,3197,553,188,188,375,45,9.615196373334038,9.623733000000357,0.16254886775194358
3750,3750,563,0,0.15,0,3185,565,94,94,563,45,21.519791680000345,21.488789499999257,0.3956699098160768
3750,3750,750,0,0.2,0,3192,558,0,0,750,45,38.31640673333337,38.29429940000409,0.7794868221250097
4000,4001,400,0,0.1,0,3394,606,200,200,400,45,11.24778879666701,11.23723020000034,0.17006421776676886
4000,4003,600,0,0.15,0,3427,573,100,100,600,45,24.208012053333125,24.230798099997628,0.33355246952464296
4000,4001,800,0,0.2,0,3404,596,0,0,800,45,42.07775996666654,41.72802539999975,1.1355125836596802
4250,4250,425,0,0.1,0,3628,622,213,213,425,45,12.78064107333339,12.782990100000461,0.1428457815482824
4250,4251,638,0,0.15,0,3593,657,107,107,638,45,28.025461703333956,27.93197499999951,0.4093752476094641
4250,4250,850,0,0.2,0,3594,656,0,0,850,45,52.56289121999968,52.6353042999981,1.3131427658135346
4500,4501,450,0,0.1,0,3840,660,225,225,450,45,14.680474726666823,14.64754350000294,0.17606232192712415
4500,4500,675,0,0.15,0,3824,676,113,113,675,45,30.65695896999993,30.59542660000443,0.34609228286303095
4500,4500,900,0,0.2,0,3817,683,0,0,900,45,59.63139593666662,58.769448300001386,2.5099697168118085
4750,4751,475,0,0.1,0,4065,685,238,238,475,45,16.103345483333154,16.106633900002635,0.189509920182729
4750,4750,713,0,0.15,0,4077,673,119,119,713,45,38.64584592666676,38.65329159999965,0.5378845351342463
4750,4751,950,0,0.2,0,4054,696,0,0,950,45,67.2128343133331,66.48183820000122,3.338405864911066
5000,5003,500,0,0.1,0,4246,754,250,250,500,45,18.356849476666927,18.204361199997948,0.687170647260701
5000,5000,750,0,0.15,0,4288,712,125,125,750,45,41.7979035666666,41.639332900005684,0.9221484770002022
5000,5000,1000,0,0.2,0,4231,769,0,0,1000,45,74.26217470999957,73.94687180000619,2.63958310121159
5250,5251,525,0,0.1,0,4468,782,263,263,525,45,22.516586050000235,22.307073899995885,0.8207539103352134
5250,5250,788,0,0.15,0,4453,797,132,132,788,45,48.989362523332964,48.501216399999976,2.074005435473424
5250,5250,1050,0,0.2,0,4453,797,0,0,1050,45,87.11944401999911,86.29781340000045,3.8492489733239896
5500,5500,550,0,0.1,0,4687,813,275,275,550,45,23.94955543983427,23.99424309900496,0.23201623258880744
5500,5501,825,0,0.15,0,4647,853,138,138,825,45,52.967792353267335,52.965033100001165,1.4194848025044293
5500,5500,1100,0,0.2,0,4704,796,0,0,1100,45,103.64810488333339,102.64802680000139,4.462812839317528
5750,5750,575,0,0.1,0,4908,842,288,288,575,45,27.229549030000634,26.896313600009307,0.9612086895498945
5750,5750,863,0,0.15,0,4961,789,144,144,863,45,59.62155919333406,59.300543600009405,2.1325257085133096
5750,5750,1150,0,0.2,0,4891,859,0,0,1150,45,110.4922066031669,106.40819839999313,8.983405091901831
6000,6001,600,0,0.1,0,5144,856,300,300,600,45,29.636184549998628,29.614194699999643,0.3820312852566418
6000,6002,900,0,0.15,0,5094,906,150,150,900,45,68.87890874666725,68.07310180000786,3.0972080515086913
6000,6000,1200,0,0.2,0,5134,866,0,0,1200,45,124.47416245000107,124.32246120000491,8.341121721710127
6250,6250,625,0,0.1,0,5308,942,313,313,625,45,33.794306996667004,33.742568299989216,0.5491953475751676
6250,6250,938,0,0.15,0,5355,895,157,157,938,45,78.42514204999995,79.39957930000674,3.6840675588956096
6250,6251,1250,0,0.2,0,5291,959,0,0,1250,45,135.518988356667,131.76385899999877,9.133798519028868
6500,6501,650,0,0.1,0,5523,977,325,325,650,45,36.769102646667065,36.464278600004036,0.8834934980444772
6500,6500,975,0,0.15,0,5534,966,163,163,975,45,80.51333424000089,80.4879479000083,1.7918655960666832
6500,6500,1300,0,0.2,0,5516,984,0,0,1300,45,159.2757823699998,158.96092269998917,8.3466460915521
6750,6750,675,0,0.1,0,5732,1018,338,338,675,45,39.1068812400025,38.74536980000266,1.0075488810739415
6750,6750,1013,0,0.15,0,5748,1002,169,169,1013,45,89.758780576669,88.54136740000104,4.07211936640642
6750,6753,1350,0,0.2,0,5753,997,0,0,1350,45,175.43239278333252,174.9211718000006,9.931525786504865
7000,7001,700,0,0.1,0,6004,996,350,350,700,45,42.98614483000031,42.886031900008675,0.5274696107270419
7000,7000,1050,0,0.15,0,5983,1017,175,175,1050,45,96.41083047000139,94.5097051000048,5.04527365066104
7000,7000,1400,0,0.2,0,5984,1016,0,0,1400,45,198.782693973334,197.01610639999853,9.698145552901657