Features,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,Porcentaje de Features,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Media (s),median(s),sd(s)
250,275,25,0,0.1,0,213,37,13,13,25,7.732200011863218E-4,7.690999991609715E-4,1.5205250156367063E-5
250,288,38,0,0.15,0,204,46,7,7,38,9.212233325039658E-4,9.190999990096316E-4,6.7387272141489975E-6
250,300,50,0,0.2,0,214,36,0,0,50,9.035033333930186E-4,8.945000008679926E-4,2.276846577149704E-5
500,550,50,0,0.1,0,420,80,25,25,50,0.002457196666121793,0.0024164999995264225,1.6430669030348136E-4
500,575,75,0,0.15,0,430,70,13,13,75,0.0029268433330192543,0.002871799995773472,1.9966171433307366E-4
500,600,100,0,0.2,0,432,68,0,0,100,0.0029006166664961104,0.002881200001866091,8.617986341819195E-5
750,825,75,0,0.1,0,650,100,38,38,75,0.004692740000609774,0.004692700000305194,2.8091784576609497E-5
750,863,113,0,0.15,0,646,104,19,19,113,0.005827593334106496,0.005788400005258154,1.0573949166925602E-4
750,900,150,0,0.2,0,637,113,0,0,150,0.0056602300001638165,0.005596899994998239,1.4119158955901943E-4
1000,1100,100,0,0.1,0,848,152,50,50,100,0.00823402999934236,0.008198799994715955,1.6681423439513844E-4
1000,1150,150,0,0.15,0,847,153,25,25,150,0.01097200666651285,0.010767300002044067,8.776209176848342E-4
1000,1200,200,0,0.2,0,840,160,0,0,200,0.013375413332687458,0.012872599996626377,0.0023661621513778753
1250,1375,125,0,0.1,0,1055,195,63,63,125,0.012597833332741478,0.01254989999870304,1.4253957825466495E-4
1250,1438,188,0,0.15,0,1071,179,32,32,188,0.01583099666677299,0.01581150000129128,1.0452159419804236E-4
1250,1500,250,0,0.2,0,1056,194,0,0,250,0.01531614000001961,0.015109899999515619,7.393746457021729E-4
1500,1650,150,0,0.1,0,1286,214,75,75,150,0.01810043999964061,0.018091199999616947,1.5256889371812601E-4
1500,1725,225,0,0.15,0,1270,230,38,38,225,0.022872733333012246,0.022705100003804546,6.649554642282937E-4
1500,1800,300,0,0.2,0,1283,217,0,0,300,0.021980260000176107,0.021909000002779067,4.2807368000921425E-4
1750,1925,175,0,0.1,0,1492,258,88,88,175,0.024485173333717587,0.024442800000542775,2.970133878159592E-4
1750,2013,263,0,0.15,0,1512,238,44,44,263,0.031164796665931742,0.0311504999990575,2.2279876183737546E-4
1750,2100,350,0,0.2,0,1511,239,0,0,350,0.029171973332995548,0.029154199997719843,1.0346131875085414E-4
2000,2200,200,0,0.1,0,1717,283,100,100,200,0.03148195333390807,0.03136180000001332,4.8287662048965817E-4
2000,2300,300,0,0.15,0,1703,297,50,50,300,0.040071519999522326,0.04013359999953536,2.824287729964398E-4
2000,2400,400,0,0.2,0,1721,279,0,0,400,0.038179183333704715,0.03818419999879552,2.9265112298081753E-4
2250,2475,225,0,0.1,0,1906,344,113,113,225,0.039339890000458885,0.039230899994436186,3.331649912910584E-4
2250,2588,338,0,0.15,0,1914,336,57,57,338,0.05059245999970396,0.05053909999696771,2.9623164482040675E-4
2250,2700,450,0,0.2,0,1905,345,0,0,450,0.04763899333338486,0.047491199999058153,3.783171693893242E-4
2500,2750,250,0,0.1,0,2141,359,125,125,250,0.0482196666659244,0.048248200000671204,3.205789281306483E-4
2500,2875,375,0,0.15,0,2133,367,63,63,375,0.062229069999739296,0.0619758999964688,7.335821969006428E-4
2500,3000,500,0,0.2,0,2137,363,0,0,500,0.05877749999975398,0.05846330000349553,9.243882293121427E-4
2750,3025,275,0,0.1,0,2366,384,138,138,275,0.05713745999892126,0.057105300002149306,2.601806103586908E-4
2750,3163,413,0,0.15,0,2338,412,69,69,413,0.07426730000006501,0.07435110000369605,5.124713059762381E-4
2750,3300,550,0,0.2,0,2311,439,0,0,550,0.07163012666569557,0.07141919999412494,9.89909774328233E-4
3000,3300,300,0,0.1,0,2557,443,150,150,300,0.06732029999984661,0.0672647000028519,3.018897255954125E-4
3000,3450,450,0,0.15,0,2549,451,75,75,450,0.08835749666589739,0.08811689999856753,6.175544491260691E-4
3000,3600,600,0,0.2,0,2555,445,0,0,600,0.08499394333387802,0.08498990000225604,6.35312111983087E-4
3250,3575,325,0,0.1,0,2767,483,163,163,325,0.07866256666675327,0.07857820000208449,5.661589709821044E-4
3250,3738,488,0,0.15,0,2773,477,82,82,488,0.1048723666666774,0.10473910000291653,0.001489958351363002
3250,3900,650,0,0.2,0,2777,473,0,0,650,0.1007079166660939,0.10025000000314321,0.0013105725610903867
3500,3850,350,0,0.1,0,3001,499,175,175,350,0.09227326000012302,0.09184319999621948,0.003595247501232848
3500,4025,525,0,0.15,0,2976,524,88,88,525,0.12381103666702983,0.12200279999524355,0.0060966418030146095
3500,4200,700,0,0.2,0,2975,525,0,0,700,0.11895200999982383,0.11795900000288384,0.004546556954708299
3750,4125,375,0,0.1,0,3216,534,188,188,375,0.10395750666672636,0.1030666000006022,0.002857857822555569
3750,4313,563,0,0.15,0,3203,547,94,94,563,0.1382698133335604,0.13741570000274805,0.0031780986392001415
3750,4500,750,0,0.2,0,3241,509,0,0,750,0.1425573099993926,0.1395016000024043,0.007513316678025735
4000,4400,400,0,0.1,0,3400,600,200,200,400,0.11670885999919847,0.11626569999498315,0.001503524429794326
4000,4600,600,0,0.15,0,3399,601,100,100,600,0.1508836200007257,0.1544549000027473,0.011329694938573803
4000,4800,800,0,0.2,0,3425,575,0,0,800,0.15541946333347975,0.15789460000087274,0.008111401057879723
4250,4675,425,0,0.1,0,3674,576,213,213,425,0.13316693666614204,0.13176329999987502,0.0041213094274190195
4250,4888,638,0,0.15,0,3597,653,107,107,638,0.17785106666706268,0.1756759999989299,0.00502972638232624
4250,5100,850,0,0.2,0,3610,640,0,0,850,0.18341923666666843,0.18040710000059335,0.009394898225617149
4500,4950,450,0,0.1,0,3843,657,225,225,450,0.14922362999980882,0.1479232999990927,0.0032604796676756554
4500,5175,675,0,0.15,0,3867,633,113,113,675,0.20297002000176387,0.19925030000013066,0.013825546225176418
4500,5400,900,0,0.2,0,3840,660,0,0,900,0.20475055999995675,0.2041315000024042,0.004323551245053242
4750,5225,475,0,0.1,0,4021,729,238,238,475,0.16358949666561481,0.16251029999693856,0.0030590135134502794
4750,5463,713,0,0.15,0,4045,705,119,119,713,0.2178897966662286,0.21758150000096066,0.0016828770265786223
4750,5700,950,0,0.2,0,4035,715,0,0,950,0.2282070166671474,0.2280252000055043,0.0018240423440245238
5000,5500,500,0,0.1,0,4261,739,250,250,500,0.19513642333307266,0.18950829999812413,0.018000214928953536
5000,5750,750,0,0.15,0,4268,732,125,125,750,0.24981307333267372,0.24765040000056615,0.006265354641563043
5000,6000,1000,0,0.2,0,4295,705,0,0,1000,0.25757650666661597,0.25600200000189943,0.006763210064636296
5250,5775,525,0,0.1,0,4479,771,263,263,525,0.20285758666602002,0.20187790000636596,0.007760298869982847
5250,6038,788,0,0.15,0,4486,764,132,132,788,0.27241710666712604,0.2721716999949422,0.0021128003995422836
5250,6300,1050,0,0.2,0,4470,780,0,0,1050,0.28760267000082723,0.285378500004299,0.006351553769486843
5500,6050,550,0,0.1,0,4674,826,275,275,550,0.22083826666663905,0.22076569999626372,0.001167287014845268
5500,6325,825,0,0.15,0,4709,791,138,138,825,0.30024676333293127,0.30050289999780944,0.0014685916610033772
5500,6600,1100,0,0.2,0,4676,824,0,0,1100,0.3114755499996439,0.31136829999741167,0.0029844555538260033
5750,6325,575,0,0.1,0,4855,895,288,288,575,0.24207750333322717,0.2426536999992095,0.0032613887280331247
5750,6613,863,0,0.15,0,4880,870,144,144,863,0.32942901333396246,0.3294804000033764,0.002546861124123632
5750,6900,1150,0,0.2,0,4877,873,0,0,1150,0.3432522999998279,0.3437372999978834,0.0021449731821708614
6000,6600,600,0,0.1,0,5112,888,300,300,600,0.2844232300000537,0.27845130000059726,0.02240493818292511
6000,6900,900,0,0.15,0,5145,855,150,150,900,0.37109238666671446,0.36352740000438644,0.021036847574650033
6000,7200,1200,0,0.2,0,5101,899,0,0,1200,0.38390866666692697,0.3804842000026838,0.010198181624020237
6250,6875,625,0,0.1,0,5360,890,313,313,625,0.28607272333368505,0.2857819000055315,0.001700856370363813
6250,7188,938,0,0.15,0,5302,948,157,157,938,0.38745225333380706,0.3862085000000661,0.004388535273543825
6250,7500,1250,0,0.2,0,5341,909,0,0,1250,0.4105954133340371,0.4088315999979386,0.010252413306632055
6500,7150,650,0,0.1,0,5534,966,325,325,650,0.30817674999974165,0.3074172999986331,0.0026232036062711884
6500,7475,975,0,0.15,0,5556,944,163,163,975,0.42116401666765646,0.4207572000013897,0.003290938444623863
6500,7800,1300,0,0.2,0,5535,965,0,0,1300,0.4448442866666786,0.4382913000008557,0.02015605552546234
6750,7425,675,0,0.1,0,5750,1000,338,338,675,0.3345069500006502,0.3340038000023924,0.0020512937158492952
6750,7763,1013,0,0.15,0,5758,992,169,169,1013,0.4537737433340226,0.45343770000181394,0.0040876031043780405
6750,8100,1350,0,0.2,0,5778,972,0,0,1350,0.47918135000072654,0.4777299999987008,0.005681749326863388
7000,7700,700,0,0.1,0,5945,1055,350,350,700,0.3610624166671187,0.3609264000042458,0.005152991938210509
7000,8050,1050,0,0.15,0,5977,1023,175,175,1050,0.49115609000000404,0.49002479999762727,0.005008547252865361
7000,8400,1400,0,0.2,0,5992,1008,0,0,1400,0.5135740366660078,0.5132569999987027,0.007785733051616101
